12
************************************************************************
 $Id: eii_ik.data,v 1.3 2011/04/12 22:17:51 mainegra Exp $
************************************************************************
Electron Impact Ionization cross sections for K, LI, LII and LIII shells
with binding energies above 1 keV in barn/atom.
Energy range: binding energy ... 10 GeV
Equidistant bins on a logarithmic grid.
The Kawrakow theory has been used to calculate the data.
Format is: max. energy, number of points 
For each element: Z, number of shells with U > 1 keV
For each such shell: global cross section maximum
                     N data points sigma/sigma_max
 0.80222 0.84881 0.88840 0.92126 0.94773 0.96824 0.98326 0.99326 0.99870 1.00000
 0.99762 0.99197 0.98346 0.97244 0.95927 0.94425 0.92767 0.90980 0.89087 0.87110
 0.85068 0.82977 0.80854 0.78710 0.76559 0.74411 0.72274 0.70157 0.68066 0.66007
 0.63985 0.62004 0.60068 0.58179 0.56341 0.54554 0.52820 0.51140 0.49516 0.47946
 0.46432 0.44974 0.43570 0.42221 0.40927 0.39685 0.38496 0.37359 0.36273 0.35236
 0.34248 0.33307 0.32412 0.31563 0.30758 0.29995 0.29274 0.28594 0.27952 0.27349
 0.26783 0.26252 0.25756 0.25294 0.24865 0.24467 0.24099 0.23761 0.23451 0.23169
 0.22913 0.22683 0.22478 0.22297 0.22139 0.22003 0.21889 0.21795 0.21721 0.21666
 0.21630 0.21611 0.21609 0.21624 0.21654 0.21698 0.21758 0.21830 0.21916 0.22014
 0.22124 0.22245 0.22377 0.22519 0.22671 0.22831 0.23001 0.23178 0.23364 0.23556
 0.23756 0.23961 0.24173 0.24391 0.24614 0.24842 0.25075 0.25313 0.25554 0.25799
 0.26048 0.26301 0.26556 0.26815 0.27076 0.27340 0.27606 0.27875 0.28145 0.28418
 0.28692 0.28968 0.29246 0.29525 0.29805 0.30087 0.30370 0.30653 0.30938 0.31224
 0.31511 0.31799 0.32087 0.32376 0.32666 0.32956 0.33247 0.33539 0.33830 0.34123
 0.34416 0.34709 0.35003 0.35297 0.35591 0.35886 0.36180 0.36476 0.36771 0.37067
 0.37363 0.37659 0.37955 0.38251 0.38548 0.38845 0.39142 0.39439 0.39736 0.40033
 0.40330 0.40628 0.40926 0.41223 0.41521 0.41819 0.42117 0.42415 0.42713 0.43011
 0.43309 0.43608 0.43906 0.44204 0.44503 0.44801 0.45100 0.45398 0.45697 0.45995
 0.46294 0.46593 0.46891 0.47190 0.47489 0.47788 0.48086 0.48385 0.48684 0.48983
 0.49282 0.49581 0.49880 0.50178 0.50477 0.50776 0.51075 0.51374 0.51673 0.51972
 0.52271 0.52570 0.52869 0.53168 0.53467 0.53766 0.54065 0.54364 0.54663 0.54963
 0.55262 0.55561 0.55860 0.56159 0.56458 0.56757 0.57056 0.57355 0.57654 0.57953
 0.58252 0.58551 0.58851 0.59150 0.59449 0.59748 0.60047 0.60346 0.60645 0.60944
